  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 15:46:00	  -6.000	  131.72	 1028.38	   23.11	  869.88	   1.209	 -157.31	  210.90	  283.25	  180.19	  103.89	   66.84	   29.21	   10.92	   -5.60	  -14.03	   -9.63	  -25.09	  -32.12	  -33.51	  -37.26	  -32.25	  -18.73	  -15.27	   -5.68	   -5.70	    0.29	    6.57	   11.02	    9.40	   18.92	 -158.41	 -586.47	 -584.69	 -487.68	 -228.80	 -181.54	 -156.75	 -136.57	 -121.67	 -108.61	  -97.47	  -87.74	  -79.67	  -70.33	  -62.48	  -55.06	  -47.35	  -39.02	  -30.72	  -21.50	  -12.29	   -2.98	    6.48	   18.92	  279.73	  279.95	  278.75	  279.36	  280.02	  279.57	  279.78	  280.03	  280.53	  281.14	  280.80	  278.67	  279.86	  279.01	  280.23	  278.99	  279.57	  280.02	  281.86	  280.71	  270.63	  253.79	  229.70	  206.62	  203.04	  217.27	  243.01	  264.52	  277.74	  280.15	  278.87	  281.29	  280.33	  283.36	  279.76	  279.68	  278.44	  278.93	  276.99	  279.66	  277.96	  281.34	  278.61	  278.26	  279.21	  281.17	  280.19	  281.51	   14.71	   11.80	   12.97	   13.04	   13.51	   13.77	   14.21	   15.47	   15.44	   15.18	   15.46	   10.72	    1.95	    0.06	   -0.13	   -0.02
       2	 15:46:36	  -4.000	  132.22	 1028.37	   23.17	  870.22	   1.209	   -0.09	  223.21	  253.87	  126.61	   51.76	   17.42	   -8.24	  -30.92	  -39.33	  -47.42	  -37.85	  -51.45	  -55.50	  -55.75	  -57.70	  -49.52	  -37.09	  -29.52	  -19.96	  -20.42	  -16.38	  -10.58	   -7.08	   -9.59	   27.93	    1.79	 -502.89	 -336.90	 -242.83	 -183.09	 -147.75	 -117.00	  -99.32	  -87.39	  -78.26	  -71.37	  -65.26	  -59.82	  -52.59	  -46.68	  -40.92	  -34.59	  -27.40	  -20.04	  -11.26	   -2.27	    7.42	   17.39	   27.93	  278.95	  279.16	  278.14	  278.67	  279.34	  278.83	  279.11	  279.29	  279.96	  280.42	  280.05	  278.01	  279.19	  278.44	  279.64	  278.30	  279.13	  279.35	  281.15	  281.06	  276.38	  268.91	  248.79	  229.62	  232.40	  249.67	  266.83	  274.74	  279.61	  279.74	  278.29	  280.67	  281.09	  282.82	  280.56	  280.45	  279.22	  279.54	  277.87	  280.49	  278.69	  282.06	  279.39	  278.73	  279.99	  281.95	  280.81	  282.27	   13.89	   12.82	   13.79	   13.51	   13.58	   12.88	   13.84	   14.61	   15.01	   14.47	   14.55	   11.87	    1.01	    0.02	   -0.06	    0.19
       3	 15:47:14	  -2.000	  132.10	 1028.39	   23.24	  870.05	   1.209	  176.68	  213.83	  198.45	   62.31	   -6.32	  -29.02	  -48.68	  -64.74	  -66.64	  -73.63	  -63.13	  -71.22	  -73.12	  -70.38	  -69.33	  -61.53	  -46.75	  -39.39	  -31.87	  -33.42	  -32.35	  -27.72	  -20.84	   28.78	   27.95	  175.22	 -197.62	 -179.37	 -144.85	 -112.41	  -93.34	  -80.49	  -73.38	  -66.47	  -60.46	  -55.18	  -50.54	  -47.04	  -41.43	  -37.55	  -33.14	  -28.85	  -23.90	  -19.83	  -15.06	  -10.28	   -1.84	   15.82	   27.95	  277.44	  277.86	  276.81	  277.27	  277.90	  277.40	  277.79	  277.93	  278.48	  278.97	  278.53	  276.59	  277.85	  277.13	  278.37	  276.62	  277.62	  277.94	  279.60	  279.61	  276.96	  275.24	  264.50	  248.48	  242.72	  248.75	  261.37	  269.91	  276.74	  278.14	  276.87	  279.40	  279.50	  282.02	  278.93	  278.67	  277.44	  277.86	  276.01	  278.56	  276.82	  280.13	  278.25	  277.01	  277.45	  280.22	  279.15	  280.56	   13.26	   13.07	   14.02	   13.61	   13.52	   14.05	   14.06	   14.37	   14.58	   13.97	   14.02	   12.33	    0.38	    0.03	   -0.08	    0.19
       4	 15:47:46	   0.000	  132.70	 1028.40	   23.29	  870.08	   1.209	  273.41	  159.54	  113.32	  -15.84	  -68.15	  -82.74	  -92.79	 -101.30	 -100.62	 -102.38	  -88.21	  -96.38	  -93.63	  -87.44	  -84.00	  -74.53	  -60.34	  -56.43	  -49.92	  -53.90	  -52.54	  -19.82	   25.08	   34.45	   37.56	  272.01	   47.06	  -32.64	  -52.00	  -51.01	  -46.01	  -41.21	  -39.55	  -36.98	  -34.39	  -32.03	  -29.54	  -28.11	  -24.27	  -21.85	  -18.51	  -14.92	  -10.28	   -6.05	   -0.78	    3.65	    7.37	   10.17	   37.56	  279.89	  280.14	  279.11	  279.44	  280.28	  279.72	  279.98	  280.31	  280.77	  281.21	  280.96	  278.94	  280.11	  279.33	  280.52	  279.19	  280.32	  280.36	  281.88	  280.51	  274.70	  270.04	  257.46	  246.16	  249.43	  260.03	  270.09	  275.05	  279.83	  280.50	  279.14	  282.09	  279.99	  283.23	  279.54	  279.22	  278.05	  278.44	  276.61	  279.08	  277.44	  280.95	  278.97	  277.57	  278.11	  280.73	  279.73	  281.13	   13.24	   14.25	   15.25	   14.62	   14.32	   14.41	   13.72	   15.06	   14.83	   14.10	   14.20	   13.81	    1.02	    0.02	   -0.09	    0.09
       5	 15:49:37	   2.000	  132.40	 1028.40	   23.42	  870.32	   1.208	  264.16	   43.09	  -13.65	 -117.52	 -147.65	 -144.87	 -145.01	 -149.62	 -139.84	 -136.68	 -119.06	 -124.04	 -119.58	 -109.27	 -105.07	  -97.86	  -83.79	  -81.47	  -76.25	  -83.43	  -25.22	    3.20	   14.39	   21.86	   34.65	  263.25	  212.61	   96.93	   35.41	   12.49	    4.66	    0.72	   -3.95	   -5.54	   -6.20	   -6.77	   -6.61	   -7.32	   -5.47	   -4.53	   -3.01	   -0.79	    2.75	    6.24	   11.20	   16.16	   20.92	   24.97	   34.65	  278.24	  277.60	  277.90	  277.48	  278.12	  277.63	  278.11	  278.34	  278.70	  279.87	  278.62	  277.39	  278.21	  277.41	  278.56	  277.07	  278.76	  278.25	  279.93	  279.90	  276.82	  269.64	  249.44	  235.15	  241.93	  257.87	  271.46	  276.00	  278.87	  279.31	  277.20	  280.21	  280.45	  282.17	  279.95	  279.73	  278.25	  278.91	  277.07	  279.67	  277.11	  281.29	  279.31	  278.08	  278.58	  281.27	  280.09	  280.78	   11.37	   14.17	   15.02	   14.11	   13.49	   14.02	   14.31	   13.75	   13.37	   12.35	   12.37	   13.95	    0.40	    0.01	   -0.09	    0.18
       6	 15:50:21	   4.000	  130.26	 1028.41	   23.46	  869.53	   1.208	  104.17	 -111.16	 -156.69	 -222.12	 -225.76	 -205.52	 -192.21	 -189.64	 -175.38	 -168.54	 -145.32	 -146.03	 -139.76	 -129.09	 -125.41	 -120.68	 -108.94	 -108.90	  -60.39	  -31.95	  -21.62	   -6.32	    8.14	   19.82	   39.58	  104.23	  270.15	  185.56	  104.75	   65.10	   47.02	   36.22	   27.61	   22.61	   18.74	   15.58	   13.59	   10.89	   10.98	   10.06	   10.05	   10.48	   12.46	   14.34	   17.92	   21.76	   26.16	   30.85	   39.58	  278.06	  277.17	  277.70	  277.30	  278.56	  277.43	  277.94	  277.98	  278.30	  279.69	  278.25	  277.13	  277.85	  277.08	  278.34	  276.90	  278.48	  278.00	  279.63	  279.67	  277.45	  273.98	  254.91	  233.82	  236.08	  252.52	  268.92	  275.19	  278.67	  279.07	  276.88	  280.02	  277.90	  281.06	  277.43	  276.91	  275.64	  276.06	  274.27	  276.77	  274.31	  278.38	  276.66	  275.47	  276.07	  278.42	  277.34	  278.00	   11.08	   15.21	   16.00	   14.92	   14.19	   14.51	   15.12	   14.10	   13.36	   12.21	   12.27	   15.25	    0.56	   -0.01	   -0.11	    0.05
       7	 15:50:55	   5.000	  132.56	 1028.42	   23.49	  870.20	   1.208	  -46.69	 -204.30	 -240.16	 -281.65	 -266.91	 -238.51	 -218.38	 -212.04	 -195.85	 -184.41	 -162.23	 -159.74	 -153.95	 -145.42	 -142.14	 -136.18	 -125.05	  -77.17	  -47.51	  -41.81	  -30.03	  -11.26	    4.86	   18.07	   39.22	  -44.33	  271.66	  219.84	  134.90	   89.25	   65.48	   52.48	   42.44	   35.82	   30.66	   26.38	   23.28	   19.76	   18.93	   17.21	   16.47	   16.21	   17.45	   18.66	   21.66	   24.99	   28.82	   33.54	   39.22	  277.96	  277.26	  277.73	  277.25	  278.64	  277.46	  277.87	  277.86	  278.48	  279.70	  278.35	  276.88	  277.90	  277.05	  278.36	  276.83	  278.40	  277.97	  279.64	  279.81	  277.29	  273.14	  253.06	  231.96	  235.07	  253.22	  269.97	  276.25	  278.64	  279.14	  276.86	  279.93	  278.78	  280.86	  278.35	  277.93	  276.70	  277.23	  275.36	  277.90	  275.27	  279.54	  277.57	  276.41	  277.40	  279.48	  278.29	  278.92	   11.05	   15.89	   16.65	   15.47	   14.58	   14.84	   15.53	   14.38	   13.52	   12.24	   12.30	   16.01	    0.92	   -0.01	   -0.09	    0.13
       8	 15:51:22	   6.000	  130.37	 1028.40	   23.52	  869.56	   1.208	 -241.77	 -305.61	 -327.36	 -338.08	 -308.76	 -269.67	 -242.71	 -232.60	 -213.30	 -199.67	 -176.94	 -173.28	 -167.78	 -160.13	 -155.79	 -130.76	  -87.10	  -71.67	  -57.23	  -50.26	  -35.35	  -14.76	    2.21	   15.99	   37.80	 -240.91	  255.71	  242.93	  160.72	  110.85	   85.10	   67.76	   56.68	   48.64	   42.26	   36.77	   32.83	   28.43	   26.73	   24.47	   22.90	   21.90	   22.50	   22.97	   25.27	   28.02	   31.22	   35.45	   37.80	  274.47	  273.94	  274.42	  273.73	  275.14	  274.03	  274.40	  274.61	  274.93	  275.86	  275.22	  273.54	  274.51	  273.93	  274.73	  273.25	  275.19	  274.55	  276.41	  275.95	  274.16	  274.85	  263.83	  237.00	  224.13	  235.53	  258.30	  271.51	  274.94	  275.83	  273.58	  276.80	  277.62	  278.62	  276.97	  276.60	  275.35	  275.84	  273.95	  276.37	  273.96	  278.09	  276.31	  275.15	  276.20	  278.08	  277.12	  277.69	   10.34	   15.83	   16.61	   15.33	   14.34	   14.57	   15.57	   14.04	   13.00	   11.65	   11.73	   16.08	    0.85	    0.00	   -0.12	    0.02
       9	 15:52:06	   7.000	  131.81	 1028.41	   23.55	  870.03	   1.207	 -476.10	 -422.09	 -424.23	 -403.77	 -353.57	 -304.54	 -273.53	 -259.36	 -235.96	 -217.96	 -196.34	 -190.90	 -176.81	 -154.21	 -138.58	 -122.79	  -97.62	  -81.71	  -64.44	  -55.35	  -38.30	  -16.73	    0.84	   14.61	   36.32	 -476.72	  229.69	  261.77	  186.50	  132.12	  102.83	   85.10	   71.12	   61.65	   53.95	   47.63	   42.47	   37.28	   34.91	   31.72	   29.54	   27.85	   27.72	   27.52	   29.16	   31.34	   34.01	   37.57	   36.32	  277.01	  276.35	  276.67	  276.28	  277.55	  276.36	  276.80	  277.09	  277.46	  278.36	  277.95	  275.73	  276.82	  276.10	  277.14	  275.81	  277.36	  276.98	  278.72	  278.62	  276.60	  276.25	  262.61	  232.83	  220.87	  235.83	  261.55	  274.71	  277.56	  278.19	  276.04	  279.00	  279.23	  280.94	  278.69	  278.26	  277.01	  277.55	  275.71	  278.32	  275.72	  279.87	  277.96	  276.73	  278.00	  279.82	  278.81	  279.42	   10.42	   16.61	   17.36	   16.03	   14.91	   14.98	   16.05	   14.45	   13.28	   11.78	   11.87	   16.95	    0.90	   -0.01	   -0.04	    0.05
